507    1062
481     540
___________________________________________________________
Result of Year   2010   :
541     600
___________________________________________________________
Result of Year   2015   :
28018 28018
-100.0 ab initio , arabidopsis thaliana
-100.0 wavelet decomposition , fundus image
-100.0 wavelet decomposition , heart disease
-100.0 wavelet decomposition , lesion segmentation
-100.0 wavelet decomposition , local control
-100.0 wavelet decomposition , macular edema
-100.0 wavelet decomposition , magnetic resonance
-100.0 wavelet decomposition , outcome prediction
-100.0 wavelet decomposition , physical activity
-100.0 wavelet decomposition , radiation therapy
-100.0 wavelet decomposition , treatment outcome
-100.0 wavelet decomposition , tumor
-100.0 wavelet decomposition , tumor volume
-100.0 wavelet features , breast cancer
-100.0 wavelet features , breast cancer diagnosis
-100.0 wavelet features , cancer diagnosis
-100.0 wavelet features , diagnosis of cancer
-100.0 wavelet features , early diagnosis
-100.0 wavelet features , ecg signal
-100.0 wavelet features , gene expression
-100.0 wavelet features , gene expression profile
-100.0 wavelet features , gene function
-100.0 wavelet features , human proteome
-100.0 wavelet features , protein
-100.0 wavelet features , quality control
-100.0 wavelet features , ventricular fibrillation
-100.0 wavelet packet , congestive heart failure
-100.0 wavelet packet , electrical stimulation
-100.0 wavelet transform , blood flow
-100.0 wavelet transform , blood vessel
-100.0 wavelet transform , blood vessels
-100.0 wavelet transform , breast cancer diagnosis
-100.0 wavelet transform , breast carcinoma
-100.0 wavelet transform , breast mri
-100.0 wavelet transform , cancer diagnosis
-100.0 wavelet transform , cancer research
-100.0 wavelet transform , capsule endoscopy
-100.0 wavelet transform , cell morphology
-100.0 wavelet transform , cerebral palsy
-100.0 wavelet transform , chronic obstructive pulmonary disease
-100.0 wavelet transform , clinical validation
-100.0 wavelet transform , computational biology
-100.0 wavelet transform , congestive heart failure
-100.0 wavelet transform , coronary artery
-100.0 wavelet transform , diagnostic tools
-100.0 wavelet transform , diffusion-weighted imaging
-100.0 wavelet transform , digital mammography
-100.0 wavelet transform , drug design
-100.0 wavelet transform , drug discovery
-100.0 wavelet transform , electrical stimulation
-100.0 wavelet transform , event-related potentials
-100.0 wavelet transform , fatty liver disease
-100.0 wavelet transform , fine needle aspiration
-100.0 wavelet transform , frontal cortex
-100.0 wavelet transform , gastrointestinal tract
-100.0 wavelet transform , health data
-100.0 wavelet transform , individual variability
-100.0 wavelet transform , institutional review board
-100.0 wavelet transform , intracranial eeg
-100.0 wavelet transform , liver cancer
-100.0 wavelet transform , microscopy images
-100.0 wavelet transform , neuromuscular disorders
-100.0 wavelet transform , older people
-100.0 wavelet transform , parkinson disease
-100.0 wavelet transform , protein design
-100.0 wavelet transform , reference standard
-100.0 wavelet transform , skin lesions
-100.0 wavelet transform , sleep staging
-100.0 wavelet transform , subthalamic nucleus
-100.0 wavelet transform , temporal lobe
-100.0 wavelet transform , temporal lobe epilepsy
-100.0 wavelet transform , thyroid cancer
-100.0 wavelet transform , trabecular bone
-100.0 wavelet transform , treatment planning
-100.0 wavelet transform , tumor classification
-100.0 wearable device , false positives
-100.0 web application , chronic disease
-100.0 web application , differentially expressed genes
-100.0 web application , peptide
-100.0 web application , toxicity
-100.0 window length , brain activity
-100.0 window length , evoked potentials
-100.0 wireless sensor networks , heart rate
-100.0 wireless sensor networks , missing data
-83.33333333333334 bayesian model , dna sequence
-83.33333333333334 classification , human leukocyte antigen
-83.33333333333334 classification , suicide notes
-83.33333333333334 cross-validation , gastric cancer
-83.33333333333334 feature selection , congestive heart failure
-83.33333333333334 feature selection , microarray analysis
-83.33333333333334 machine learning , microarray analysis
-83.33333333333334 nearest neighbor , gene expression profile
-80.0 ab initio , secondary structure
-80.0 bayesian model , false positives
-80.0 classification , disease outbreaks
-80.0 classification , intracranial pressure
-80.0 classification , sequence motifs
-80.0 clustering , emg signal
-80.0 cross-validation , gene expression classifier
-80.0 feature vector , ultrasound images
-80.0 hybrid model , amino acid composition
-80.0 image features , electron microscopy
-80.0 natural language processing , protein-protein interaction
-80.0 random forest , intravascular ultrasound
-80.0 semi-supervised learning , protein interaction
-80.0 semi-supervised learning , protein-protein interaction
-80.0 shape model , ct images
-80.0 supervised classification , prostate
-80.0 support vector machine , functional imaging
-80.0 texture features , thyroid nodule
-75.0 annotated data , clinical text
-75.0 bayesian model , cell types
-75.0 bayesian model , clinical practice
-75.0 bayesian model , real-world data
-75.0 bayesian model , single nucleotide polymorphism
-75.0 bayesian model , sleep apnea
-75.0 classification , bone density
-75.0 classification , cleavage site
-75.0 classification , microarray analysis
-75.0 computer-aided detection , ct colonography
-75.0 cross-validation , cancer research
-75.0 cross-validation , gene expression profiling
-75.0 data mining , genetic variants
-75.0 data mining , protein sequence
-75.0 data sources , protein-protein interactions
-75.0 decision tree , cleavage site
-75.0 expectation maximization , protein
-75.0 expert system , diabetes
-75.0 expert system , protein
-75.0 feature selection , protein subcellular localization
-75.0 gaussian mixture model , epilepsy
-75.0 genetic algorithm , heart failure
-75.0 genetic algorithm , liver disease
-75.0 hierarchical clustering , gene expression signature
-75.0 in silico , cleavage site
-75.0 independent set , peptide
-75.0 logistic regression , effect size
-75.0 majority voting , protein interaction
-75.0 majority voting , protein sequence
-75.0 majority voting , protein-protein interaction
-75.0 mit-bih arrhythmia database , heart disease
-75.0 mixture model , epilepsy
-75.0 nearest neighbor , chronic obstructive pulmonary disease
-75.0 nearest neighbor , computed tomography
-75.0 nearest neighbor , target protein
-75.0 network analysis , biological networks
-75.0 radial basis function , ultrasound images
-75.0 recursive feature elimination , gene selection
-75.0 robust classification , protein
-75.0 self-organizing map , protein
-75.0 signal processing , evoked potentials
-75.0 supervised classification , prostate cancer
-75.0 supervised learning , protein complex
-75.0 support vector machine , acute stroke
-75.0 support vector machine , gleason grade
-75.0 support vector machine , mycobacterium tuberculosis
-75.0 support vector machine , transcription factor binding sites
-75.0 systems biology , transcription factor
-75.0 text classification , protein interaction
-75.0 wavelet transform , thyroid nodule
-71.42857142857143 feature space , computed tomography
-71.42857142857143 rough set , gene expression
-70.0 linear classifier , protein
-70.0 multivariate model , expression signature
-66.66666666666666 adaboost , pseudo amino acid composition
-66.66666666666666 artificial intelligence , cross-sectional study
-66.66666666666666 automatic segmentation , diagnostic performance
-66.66666666666666 bayesian model , differential diagnosis
-66.66666666666666 bayesian model , protein-protein interactions
-66.66666666666666 bayesian model , ribosomal rna
-66.66666666666666 bayesian model , side effect
-66.66666666666666 bayesian model , taxonomic classification
-66.66666666666666 bayesian model , thyroid nodule
-66.66666666666666 brain-computer interface , scalp eeg
-66.66666666666666 canonical correlation analysis , biochemical recurrence
-66.66666666666666 canonical correlation analysis , prostate
-66.66666666666666 canonical correlation analysis , prostate cancer
-66.66666666666666 canonical correlation analysis , radical prostatectomy
-66.66666666666666 classification , cardiac surgery
-66.66666666666666 classification , mechanism of action
-66.66666666666666 classification , structural genomics
-66.66666666666666 classifier ensemble , magnetic resonance
-66.66666666666666 clustering , breast tumor
-66.66666666666666 clustering , differential diagnosis
-66.66666666666666 clustering , drug resistance
-66.66666666666666 clustering , gene selection
-66.66666666666666 clustering , genome annotation
-66.66666666666666 clustering , intracranial pressure
-66.66666666666666 clustering , microarray analysis
-66.66666666666666 clustering , skin lesions
-66.66666666666666 computational method , hydrogen bonds
-66.66666666666666 computational methods , hot spot residues
-66.66666666666666 computational methods , hydrogen bonds
-66.66666666666666 computer-aided diagnosis , dynamic contrast-enhanced magnetic resonance imaging
-66.66666666666666 conditional random field , clinical trial
-66.66666666666666 correlation analysis , biochemical recurrence
-66.66666666666666 correlation coefficient , frontal cortex
-66.66666666666666 correlation coefficient , gray matter
-66.66666666666666 correlation coefficient , high risk
-66.66666666666666 correlation coefficient , protein data bank
-66.66666666666666 correlation coefficient , protein design
-66.66666666666666 cross-validation , cancer prognosis
-66.66666666666666 cross-validation , plasmodium falciparum
-66.66666666666666 cross-validation , smoking status
-66.66666666666666 data mining , chemical descriptors
-66.66666666666666 data mining , diagnostic test
-66.66666666666666 data mining , mass spectrometry
-66.66666666666666 data mining , traditional chinese medicine
-66.66666666666666 decision support system , medical image
-66.66666666666666 decision tree , drug target
-66.66666666666666 decision tree , ultrasound images
-66.66666666666666 discriminant analysis , blood flow
-66.66666666666666 discriminant analysis , brain tumor
-66.66666666666666 discriminant analysis , breast mass
-66.66666666666666 discriminant analysis , chemical properties
-66.66666666666666 discriminant analysis , computer-assisted diagnosis
-66.66666666666666 discriminant analysis , emotional state
-66.66666666666666 discriminant analysis , magnetic resonance spectroscopy
-66.66666666666666 discriminant analysis , single nucleotide polymorphism
-66.66666666666666 dynamic programming , secondary structure
-66.66666666666666 ensemble model , gene expression profile
-66.66666666666666 ensemble model , imaging modalities
-66.66666666666666 ensemble model , subcellular location
-66.66666666666666 event detection , natural language
-66.66666666666666 expert system , disease diagnosis
-66.66666666666666 expression patterns , binding site
-66.66666666666666 expression patterns , microarray analysis
-66.66666666666666 feature importance , gene expression
-66.66666666666666 feature selection , arabidopsis thaliana
-66.66666666666666 feature selection , binding sites
-66.66666666666666 feature selection , chemical descriptors
-66.66666666666666 feature selection , disease states
-66.66666666666666 feature selection , intracranial pressure
-66.66666666666666 feature selection , major depression
-66.66666666666666 feature selection , radical prostatectomy
-66.66666666666666 feature vector , blood flow
-66.66666666666666 feature vector , transcription factor
-66.66666666666666 fold recognition , protein structure prediction
-66.66666666666666 fourier transform , heart sounds
-66.66666666666666 functional genomics , gene expression profile
-66.66666666666666 functional magnetic resonance imaging , mental imagery
-66.66666666666666 fuzzy classifier , gene expression
-66.66666666666666 fuzzy inference system , cancer
-66.66666666666666 gaussian kernel , protein
-66.66666666666666 gaussian mixture model , neurological disorder
-66.66666666666666 genetic algorithm , clinical decision
-66.66666666666666 genetic algorithm , congestive heart failure
-66.66666666666666 genetic algorithm , hand movement
-66.66666666666666 genetic algorithm , t cells
-66.66666666666666 gray level co-occurrence matrix , breast lesion
-66.66666666666666 hidden markov model , false positives
-66.66666666666666 hidden markov model , genome annotation
-66.66666666666666 hierarchical clustering , gene expression analysis
-66.66666666666666 hierarchical clustering , gene expression classifier
-66.66666666666666 hierarchical clustering , molecular subtype
-66.66666666666666 hierarchical clustering , molecular subtypes
-66.66666666666666 hierarchical clustering , stem cell
-66.66666666666666 human-computer interaction , neural activity
-66.66666666666666 hybrid model , protein
-66.66666666666666 image acquisition , cell types
-66.66666666666666 image processing , cell line
-66.66666666666666 image segmentation , ultrasound images
-66.66666666666666 in silico , protein folding
-66.66666666666666 in silico , transcription factor binding
-66.66666666666666 in silico , transcription factor binding sites
-66.66666666666666 independent test set , cleavage site
-66.66666666666666 independent test set , gene set
-66.66666666666666 information gain , gene expression
-66.66666666666666 intrinsic mode functions , epilepsy
-66.66666666666666 learning algorithm , age groups
-66.66666666666666 learning algorithm , control groups
-66.66666666666666 learning algorithm , gene expression signature
-66.66666666666666 linear classifier , temporal lobe
-66.66666666666666 linear classifier , temporal lobe epilepsy
-66.66666666666666 linear discriminant , blood flow
-66.66666666666666 linear discriminant , cerebral blood flow
-66.66666666666666 linear discriminant , older adults
-66.66666666666666 linear discriminant , raman spectra
-66.66666666666666 linear regression , gene expression profiling
-66.66666666666666 linear regression , medical imaging
-66.66666666666666 linear regression , peptide
-66.66666666666666 logistic regression , amino acid sequence
-66.66666666666666 logistic regression , gene interactions
-66.66666666666666 majority voting , expression profiles
-66.66666666666666 majority voting , protein sequences
-66.66666666666666 manifold learning , cortical thickness
-66.66666666666666 markov random field , prostate
-66.66666666666666 mit-bih arrhythmia database , clinical diagnosis
-66.66666666666666 mixture model , neurological disorder
-66.66666666666666 model selection , cancer diagnosis
-66.66666666666666 monte carlo , peptide
-66.66666666666666 monte carlo , t cell
-66.66666666666666 motor imagery , human brain
-66.66666666666666 mri images , gray matter
-66.66666666666666 multiple linear regression , drugs
-66.66666666666666 nearest neighbor , disease diagnosis
-66.66666666666666 nearest neighbor , expression profiles
-66.66666666666666 nearest neighbor , fine needle aspiration
-66.66666666666666 network analysis , mass spectrometry
-66.66666666666666 next generation sequencing , ribosomal rna
-66.66666666666666 parameter estimation , protein
-66.66666666666666 partial least squares , drugs
-66.66666666666666 partial least squares , gene expression
-66.66666666666666 pattern recognition , brain tumor
-66.66666666666666 position-specific scoring matrix , protein functions
-66.66666666666666 predictive modeling , t cell
-66.66666666666666 predictive performance , gene function
-66.66666666666666 predictive performance , imbalanced data
-66.66666666666666 predictive performance , immune response
-66.66666666666666 principle component analysis , disease diagnosis
-66.66666666666666 principle component analysis , human brain
-66.66666666666666 principle component analysis , outcome prediction
-66.66666666666666 principle component analysis , protein subcellular localization
-66.66666666666666 qsar models , drug development
-66.66666666666666 radial basis function , clinical data
-66.66666666666666 radial basis function , computed tomography
-66.66666666666666 radial basis function , diabetes
-66.66666666666666 radial basis function , heart disease
-66.66666666666666 radial basis function , peptide
-66.66666666666666 random forest , genetic variation
-66.66666666666666 random forest , microarray analysis
-66.66666666666666 receiver operating characteristic , gene expression signature
-66.66666666666666 regression , genetic interactions
-66.66666666666666 regression , reverse transcriptase
-66.66666666666666 ridge regression , gene expression
-66.66666666666666 rough set , expression profiles
-66.66666666666666 rough set , gene expression profile
-66.66666666666666 rough set , gene selection
-66.66666666666666 scoring function , protein structure prediction
-66.66666666666666 scoring function , structure prediction
-66.66666666666666 scoring functions , protein structure prediction
-66.66666666666666 scoring functions , structure prediction
-66.66666666666666 sentiment analysis , suicide notes
-66.66666666666666 signal processing , older people
-66.66666666666666 sliding window , peptide
-66.66666666666666 statistical analysis , differential diagnosis
-66.66666666666666 statistical features , computed tomography
-66.66666666666666 structure-activity relationships , in vivo
-66.66666666666666 structure-activity relationships , peptide
-66.66666666666666 supervised classification , epilepsy
-66.66666666666666 supervised learning , breast lesion
-66.66666666666666 supervised learning , estrogen receptor
-66.66666666666666 supervised learning , molecular biology
-66.66666666666666 supervised learning , protein sequences
-66.66666666666666 support vector machine , chest radiographs
-66.66666666666666 support vector machine , chronic hepatitis c
-66.66666666666666 support vector machine , gastrointestinal tract
-66.66666666666666 support vector machine , gene interactions
-66.66666666666666 support vector machine , multiple system atrophy
-66.66666666666666 support vector machine , older people
-66.66666666666666 support vector machine , protein design
-66.66666666666666 support vector machine , structural genomics
-66.66666666666666 support vector machine , tissue microarray
-66.66666666666666 systems biology , hepatocellular carcinoma
-66.66666666666666 texture feature , breast cancer diagnosis
-66.66666666666666 texture features , breast cancer diagnosis
-66.66666666666666 texture features , thyroid nodules
-66.66666666666666 variable selection , high risk
-66.66666666666666 visual attention , eye movement
-66.66666666666666 wavelet transform , clinical diagnosis
-66.66666666666666 wavelet transform , in vivo
-66.66666666666666 wavelet transform , thyroid nodules
-63.63636363636363 support vector machine , cleavage site
-62.5 support vector machine , gene function
-62.5 texture analysis , ultrasound images
-61.53846153846154 support vector machine , protein complex
-60.0 annotated corpus , protein
-60.0 automatic segmentation , electron microscopy
-60.0 classification , peptide binding
-60.0 cluster analysis , gene expression
-60.0 cluster analysis , protein
-60.0 clustering , cell lines
-60.0 computational method , protein subcellular localization
-60.0 computational methods , protein subcellular localization
-60.0 cross-validation , disease classification
-60.0 cross-validation , microarray analysis
-60.0 cross-validation , prognostic factor
-60.0 energy function , protein structure
-60.0 ensemble model , clinical practice
-60.0 ensemble model , heart disease
-60.0 expression patterns , gene function
-60.0 feature extraction , breast lesion
-60.0 functional genomics , gene function
-60.0 gaussian mixture model , eeg signal
-60.0 hierarchical classification , protein
-60.0 in silico , post-translational modification
-60.0 maximum likelihood , protein
-60.0 mixture model , eeg signal
-60.0 nearest neighbor , membrane protein
-60.0 nearest neighbor , subcellular location
-60.0 pattern recognition , gene expression
-60.0 physicochemical properties , protein function
-60.0 radial basis function , drugs
-60.0 self-organizing map , gene expression
-60.0 standard deviation , gene expression
-60.0 support vector machine , computer-assisted diagnosis
-60.0 support vector machine , protein classification
-60.0 support vector machine , visual cortex
-60.0 target identification , target prediction
-60.0 text classification , clinical text
-60.0 texture feature , thyroid nodule
-57.14285714285714 classification , genome annotation
-57.14285714285714 classification , neuromuscular disorders
-57.14285714285714 classification , protein subcellular localization
-57.14285714285714 classifier ensemble , protein
-57.14285714285714 linear classifier , epilepsy
-57.14285714285714 markov random field , magnetic resonance
-57.14285714285714 multivariate model , gene expression signature
-57.14285714285714 structure-activity relationships , toxicity
-55.55555555555556 feature extraction , peptide
-50.0 ab initio , molecular biology
-50.0 active contour , cancer diagnosis
-50.0 active contour , human error
-50.0 active learning , clinical text
-50.0 adaboost , amino acid composition
-50.0 adaboost , cancer diagnosis
-50.0 adaboost , drug discovery
-50.0 artificial intelligence , autonomic nervous system
-50.0 artificial intelligence , eeg signal
-50.0 artificial intelligence , liver disease
-50.0 artificial intelligence , mood disorders
-50.0 artificial intelligence , particulate matter
-50.0 automatic segmentation , carotid artery
-50.0 automatic segmentation , lung disease
-50.0 automatic segmentation , plaque components
-50.0 bayesian model , brain activity
-50.0 bayesian model , cardiovascular diseases
-50.0 bayesian model , chronic disease
-50.0 bayesian model , clinical study
-50.0 bayesian model , cortical thickness
-50.0 bayesian model , diabetic retinopathy
-50.0 bayesian model , heterogeneous data
-50.0 bayesian model , human body
-50.0 bayesian model , lymph node
-50.0 bayesian model , mechanical ventilation
-50.0 bayesian model , microbial communities
-50.0 bayesian model , microscopic images
-50.0 bayesian model , mouse models
-50.0 bayesian model , neurological disorder
-50.0 bayesian model , protein binding
-50.0 bayesian model , protein interaction
-50.0 bayesian model , somatic mutation
-50.0 bayesian model , somatic mutations
-50.0 bayesian model , structured data
-50.0 bayesian model , systematic reviews
-50.0 bayesian model , thyroid nodules
-50.0 bayesian model , traditional chinese medicine
-50.0 bayesian model , transcription factor
-50.0 bayesian network , disease management
-50.0 bayesian network , gene expression
-50.0 bayesian network , heterogeneous data
-50.0 bayesian network , in vitro
-50.0 bayesian network , prognostic factor
-50.0 bayesian network , prognostic factors
-50.0 bayesian network , transcription factor
-50.0 bayesian networks , gene expression
-50.0 bayesian networks , gene regulatory networks
-50.0 binary classification , in vivo
-50.0 binary classification , protein-protein interaction
-50.0 binary classifier , imbalanced data
-50.0 binary classifier , intensive care
-50.0 brain computer interface , evoked potentials
-50.0 brain-computer interface , cortical surface
-50.0 brain-computer interface , magnetic resonance
-50.0 brain-computer interface , selective attention
-50.0 classification , biochemical recurrence
-50.0 classification , contrast agents
-50.0 classification , food and drug administration
-50.0 classification , liver transplantation
-50.0 classification , particulate matter
-50.0 classification , protein family
-50.0 classification , response patterns
-50.0 classification , sequence homology
-50.0 classification , signal peptides
-50.0 classifier design , magnetic resonance
-50.0 classifier ensemble , gene expression
-50.0 cluster analysis , molecular descriptors
-50.0 clustering , acute myeloid leukemia
-50.0 clustering , amino acid composition
-50.0 clustering , bone mineral density
-50.0 clustering , cause of death
-50.0 clustering , disease states
-50.0 clustering , gene expression classifier
-50.0 clustering , gene expression signature
-50.0 clustering , gleason score
-50.0 clustering , land use
-50.0 clustering , membrane protein
-50.0 clustering , metabolic pathway
-50.0 clustering , neurodegenerative disease
-50.0 clustering , physiological parameters
-50.0 clustering , physiological responses
-50.0 clustering , resting-state functional connectivity
-50.0 clustering , sequence motifs
-50.0 clustering , side effect
-50.0 clustering , tumor classification
-50.0 clustering , tumor volume
-50.0 clustering algorithms , cancer diagnosis
-50.0 cognitive neuroscience , neuronal activity
-50.0 cognitive science , facial expressions
-50.0 cognitive science , social interaction
-50.0 common spatial pattern , eye movement
-50.0 computational analysis , amino acid composition
-50.0 computational chemistry , molecular dynamics
-50.0 computational method , exome sequencing
-50.0 computational method , genome sequencing
-50.0 computational method , gram-negative bacteria
-50.0 computational method , infectious disease
-50.0 computational method , infectious diseases
-50.0 computational method , major histocompatibility complex
-50.0 computational method , metabolic pathway
-50.0 computational method , molecular fingerprints
-50.0 computational method , mycobacterium tuberculosis
-50.0 computational method , noisy data
-50.0 computational method , ovarian cancer
-50.0 computational method , protein complex
-50.0 computational method , reverse transcriptase
-50.0 computational method , secondary structure prediction
-50.0 computational method , signal peptides
-50.0 computational method , somatic mutations
-50.0 computational method , stem cell
-50.0 computational methods , false positives
-50.0 computational methods , gram-negative bacteria
-50.0 computational methods , hot spot
-50.0 computational methods , infectious disease
-50.0 computational methods , infectious diseases
-50.0 computational methods , major histocompatibility complex
-50.0 computational methods , metabolic pathway
-50.0 computational methods , molecular fingerprints
-50.0 computational methods , secondary structure prediction
-50.0 computational methods , secreted proteins
-50.0 computational modeling , tumor
-50.0 computational models , brain function
-50.0 computational neuroscience , gene
-50.0 computer aided diagnosis , ultrasound images
-50.0 computer program , health care
-50.0 computer program , protein
-50.0 computer vision , radiation therapy
-50.0 computer-aided diagnosis , lumbar spine
-50.0 computer-aided diagnosis , visual assessment
-50.0 concept extraction , clinical text
-50.0 conditional random field , binding site
-50.0 conditional random field , binding sites
-50.0 conditional random field , blood vessels
-50.0 conditional random field , multiple sclerosis
-50.0 confidence level , eeg signal
-50.0 confidence level , tumor
-50.0 continuous wavelet transform , epilepsy
-50.0 continuous wavelet transform , sleep
-50.0 correlation analysis , risk assessment
-50.0 correlation coefficient , intensive care
-50.0 correlation coefficient , resting-state functional connectivity
-50.0 correlation coefficient , saccharomyces cerevisiae
-50.0 cox proportional hazard , cancer risk
-50.0 cox regression , clinical data
-50.0 cox regression , differential expression
-50.0 cross-validation , active surveillance
-50.0 cross-validation , acute myeloid leukemia
-50.0 cross-validation , anticancer drugs
-50.0 cross-validation , antimicrobial peptides
-50.0 cross-validation , cancer genomes
-50.0 cross-validation , cell wall
-50.0 cross-validation , chest radiographs
-50.0 cross-validation , computer-assisted diagnosis
-50.0 cross-validation , disease-free survival
-50.0 cross-validation , eyes closed
-50.0 cross-validation , eyes open
-50.0 cross-validation , g protein-coupled receptors
-50.0 cross-validation , gene expression analysis
-50.0 cross-validation , genetic variation
-50.0 cross-validation , head and neck squamous cell carcinoma
-50.0 cross-validation , heart sounds
-50.0 cross-validation , hepatitis c virus
-50.0 cross-validation , liver transplantation
-50.0 cross-validation , lymph node status
-50.0 cross-validation , magnetic field
-50.0 cross-validation , missense mutations
-50.0 cross-validation , model organisms
-50.0 cross-validation , molecular profiling
-50.0 cross-validation , neuropsychological tests
-50.0 cross-validation , patient stratification
-50.0 cross-validation , protein design
-50.0 cross-validation , protein functions
-50.0 cross-validation , raman spectra
-50.0 cross-validation , reverse transcriptase
-50.0 cross-validation , study design
-50.0 cross-validation , subcellular location
-50.0 cross-validation , target gene
-50.0 data fusion , prostate
-50.0 data fusion , prostate cancer
-50.0 data mining , amino acid composition
-50.0 data mining , cancer diagnosis
-50.0 data mining , heart failure
-50.0 data mining , infectious disease
-50.0 data mining , ion channel
-50.0 data mining , molecular biology
-50.0 data mining , myocardial infarction
-50.0 data mining , protein sequences
-50.0 data mining , target protein
-50.0 data quality , in vitro
-50.0 data science , common diseases
-50.0 data sources , emergency department
-50.0 data sources , magnetic resonance
-50.0 data sources , protein domains
-50.0 database search , cancer
-50.0 decision forest , drugs
-50.0 decision forest , magnetic resonance
-50.0 decision making , coronary angiography
-50.0 decision making , gene expression profile
-50.0 decision support system , developing countries
-50.0 decision support system , in vivo
-50.0 decision support system , treatment outcome
-50.0 decision support systems , quality of care
-50.0 decision tree , cancer classification
-50.0 decision tree , cancer research
-50.0 decision tree , cancer treatment
-50.0 decision tree , clinical study
-50.0 decision tree , fine needle aspiration
-50.0 decision tree , histopathological images
-50.0 decision tree , screening mammography
-50.0 decision tree , screening methods
-50.0 decision tree , screening test
-50.0 decision tree , weight loss
-50.0 decision tree , whole blood
-50.0 diagnosis system , pathological diagnosis
-50.0 discrete cosine transform , cancer
-50.0 discrete cosine transform , peptide
-50.0 discrete wavelet transform , cardiovascular diseases
-50.0 discrete wavelet transform , heart rate
-50.0 discrete wavelet transform , ultrasound images
-50.0 discriminant analysis , brain volume
-50.0 discriminant analysis , breast imaging
-50.0 discriminant analysis , cancer detection
-50.0 discriminant analysis , cognitive function
-50.0 discriminant analysis , elderly people
-50.0 discriminant analysis , gait cycle
-50.0 discriminant analysis , grey matter
-50.0 discriminant analysis , hand movement
-50.0 discriminant analysis , human brain
-50.0 discriminant analysis , lesion classification
-50.0 discriminant analysis , neuronal activity
-50.0 discriminant analysis , older adults
-50.0 discriminant analysis , protein data bank
-50.0 discriminant analysis , tissue classification
-50.0 discrimination power , breast lesion
-50.0 discrimination power , heart failure
-50.0 discrimination power , heart rate
-50.0 discrimination power , heart rate variability
-50.0 disease detection , prostate
-50.0 disease detection , prostate cancer
-50.0 dynamic features , heart rate
-50.0 electronic medical record , high risk
-50.0 empirical mode decomposition , heart rate variability
-50.0 energy function , protein complex
-50.0 energy function , secondary structure
-50.0 ensemble model , biological features
-50.0 ensemble model , cancer detection
-50.0 ensemble model , cancer prognosis
-50.0 ensemble model , dna-binding proteins
-50.0 ensemble model , protein binding
-50.0 ensemble model , protein complex
-50.0 ensemble model , protein function
-50.0 ensemble model , tumor classification
-50.0 expert system , cancer diagnosis
-50.0 expression patterns , adjuvant chemotherapy
-50.0 expression patterns , arabidopsis thaliana
-50.0 expression patterns , disease-free survival
-50.0 expression patterns , drugs
-50.0 expression patterns , ovarian cancer
-50.0 expression patterns , protein-protein interaction
-50.0 extreme learning machine , protein-protein interaction
-50.0 feature extraction , blood flow
-50.0 feature extraction , diagnosis of lung cancer
-50.0 feature extraction , frontal cortex
-50.0 feature extraction , institutional review board
-50.0 feature selection , binding site
-50.0 feature selection , biological relevance
-50.0 feature selection , breast mri
-50.0 feature selection , computational biology
-50.0 feature selection , functional imaging
-50.0 feature selection , gram-negative bacteria
-50.0 feature selection , infectious disease
-50.0 feature selection , lifestyle factors
-50.0 feature selection , lower extremity
-50.0 feature selection , messenger rna
-50.0 feature selection , prognostic factors
-50.0 feature selection , protein folding
-50.0 feature selection , relevant variables
-50.0 feature selection , subthalamic nucleus
-50.0 feature selection , voxel-based morphometry
-50.0 feature space , cancer detection
-50.0 feature space , clinical practice
-50.0 feature space , colon cancer
-50.0 feature space , emg signal
-50.0 feature space , epileptic seizure
-50.0 feature space , heart rate variability
-50.0 feature space , natural language
-50.0 feature vector , blood vessel
-50.0 feature vector , brain development
-50.0 feature vector , breast lesion
-50.0 feature vector , carotid artery
-50.0 feature vector , cerebral blood flow
-50.0 feature vector , computational biology
-50.0 feature vector , histopathological images
-50.0 feature vector , human diseases
-50.0 feature vector , mass spectrometry
-50.0 feature vector , physiological signals
-50.0 feature vector , structure prediction
-50.0 feature vector , vessel segmentation
-50.0 fourier transform , magnetic resonance
-50.0 fourier transform , mass spectrometry
-50.0 free text , clinical practice
-50.0 free text , pathology reports
-50.0 free text , primary care
-50.0 frequency domain , event-related potentials
-50.0 frequency domain , motor impairment
-50.0 functional analysis , immune response
-50.0 functional annotation , binding site
-50.0 functional annotation , binding sites
-50.0 functional annotation , biological networks
-50.0 functional annotation , gene function
-50.0 functional annotation , genome annotation
-50.0 functional annotation , protein function prediction
-50.0 functional annotation , protein functions
-50.0 functional annotation , saccharomyces cerevisiae
-50.0 functional annotation , target gene
-50.0 functional genomics , protein function
-50.0 functional magnetic resonance imaging , somatosensory cortex
-50.0 functional magnetic resonance imaging , visual field
-50.0 functional mri , bipolar disorder
-50.0 functional mri , neural representation
-50.0 functional networks , gene expression
-50.0 functional networks , protein
-50.0 fuzzy c-means , breast density
-50.0 fuzzy c-means , lesion segmentation
-50.0 fuzzy classifier , eeg signal
-50.0 fuzzy logic , clinical decision
-50.0 gaussian kernel , protein interaction
-50.0 gaussian mixture model , optic disc
-50.0 generative model , gene expression
-50.0 genetic algorithm , amino acid composition
-50.0 genetic algorithm , breast imaging
-50.0 genetic algorithm , breast mass
-50.0 genetic algorithm , gene regulation
-50.0 genetic algorithm , human brain
-50.0 genetic algorithm , protein sequences
-50.0 global optimization , protein
-50.0 gradient boosting machine , bone density
-50.0 graph theory , cancer
